,date,tmax,tmin,prec,sun,humidity,wind,date2
11323,1994-01-01,27.636363636363637,19.554545454545455,20.954545454545453,15.571626545454546,83.68181818181819,0.9045454636363637,1994-01-01
11324,1994-01-02,29.936363636363637,19.5,4.127272727272727,19.128913,81.95454545454545,0.8477272727272727,1994-01-02
11325,1994-01-03,25.654545454545453,19.099999999999998,18.0,11.935880818181818,89.47727272727273,1.2068181818181818,1994-01-03
11326,1994-01-04,25.727272727272727,18.018181818181816,22.863636363636363,14.896850272727272,87.0909090909091,1.1840909,1994-01-04
11327,1994-01-05,27.40909090909091,18.09090909090909,11.163636363636364,16.31666122727273,82.31818181818181,1.4295454545454545,1994-01-05
11328,1994-01-06,28.40909090909091,19.30909090909091,7.5,16.124808272727275,82.8409090909091,1.2090909090909092,1994-01-06
11329,1994-01-07,27.05454545454546,19.954545454545453,5.390909090909091,13.315772136363636,89.95454545454545,1.1681818181818182,1994-01-07
11330,1994-01-08,27.866666666666664,18.908333333333335,17.083333333333332,15.054434166666667,85.625,2.052083308333333,1994-01-08
11331,1994-01-09,27.139999999999997,19.93,21.04,14.6256677,88.825,1.8375,1994-01-09
11332,1994-01-10,25.845454545454547,18.727272727272727,15.336363636363636,16.018842363636363,83.04545454545455,0.9977272727272727,1994-01-10
11333,1994-01-11,27.281818181818185,18.563636363636363,8.209090909090909,17.64152909090909,78.8409090909091,0.8136363636363636,1994-01-11
11334,1994-01-12,27.018181818181816,18.5,7.8,18.02793472727273,82.11363636363636,0.9272727090909091,1994-01-12
11335,1994-01-13,28.19090909090909,18.327272727272728,8.281818181818181,17.440612045454547,81.1590909090909,0.7477272818181819,1994-01-13
11336,1994-01-14,28.754545454545454,19.063636363636363,4.763636363636364,17.448874545454544,84.22727272727273,1.231818181818182,1994-01-14
11337,1994-01-15,26.19090909090909,17.07272727272727,24.481818181818184,15.479630727272728,86.72727272727273,1.3431818,1994-01-15
11338,1994-01-16,29.772727272727273,18.036363636363635,10.672727272727274,21.954774909090908,80.6590909090909,1.3045454545454545,1994-01-16
11339,1994-01-17,31.30909090909091,18.736363636363635,4.5636363636363635,24.375490090909093,77.63636363636364,0.9363636454545454,1994-01-17
11340,1994-01-18,30.927272727272726,20.554545454545455,2.709090909090909,22.15708190909091,77.45454545454545,0.7636363454545454,1994-01-18
11341,1994-01-19,30.818181818181817,20.518181818181816,7.572727272727272,18.062638818181817,81.61363636363636,0.6727272727272727,1994-01-19
11342,1994-01-20,30.336363636363636,20.827272727272728,5.372727272727272,15.886207363636363,85.38636363636364,0.7363636272727273,1994-01-20
11343,1994-01-21,30.01,19.45,17.27,17.40301225,83.075,0.74500001,1994-01-21
11344,1994-01-22,29.654545454545453,19.972727272727273,3.690909090909091,16.185424636363635,82.0909090909091,0.8204545545454546,1994-01-22
11345,1994-01-23,27.481818181818184,20.0,23.11818181818182,12.510880818181818,87.36363636363636,0.650000009090909,1994-01-23
11346,1994-01-24,29.00909090909091,19.936363636363637,17.78181818181818,16.932060454545454,86.6590909090909,0.7863636363636364,1994-01-24
11347,1994-01-25,29.88181818181818,20.299999999999997,5.336363636363636,16.801606181818183,87.31818181818181,0.8931818227272728,1994-01-25
11348,1994-01-26,29.61818181818182,20.272727272727273,18.754545454545454,17.32776040909091,86.75,0.8431818181818183,1994-01-26
11349,1994-01-27,27.48,20.14,20.93,13.356359000000001,87.575,0.9650000000000001,1994-01-27
11350,1994-01-28,30.00909090909091,20.145454545454545,9.572727272727274,17.591692181818182,84.31818181818181,0.865909090909091,1994-01-28
11351,1994-01-29,31.436363636363637,20.827272727272728,2.963636363636364,19.679969636363634,81.6590909090909,0.8272727181818182,1994-01-29
11352,1994-01-30,31.27,20.22,4.859999999999999,23.1722369,73.975,0.9650000000000001,1994-01-30
11353,1994-01-31,30.900000000000002,19.599999999999998,2.018181818181818,20.32769272727273,73.88636363636364,0.8613636363636363,1994-01-31
11354,1994-02-01,33.025,20.558333333333334,0.9916666666666667,26.970571500000002,68.89583333333333,0.7812499833333333,1994-02-01
11355,1994-02-02,32.30833333333333,20.483333333333334,0.075,27.25497891666667,70.02083333333333,0.791666675,1994-02-02
11356,1994-02-03,33.663636363636364,20.40909090909091,0.06363636363636363,27.183066363636364,67.0,0.6545454545454545,1994-02-03
11357,1994-02-04,34.08181818181818,20.38181818181818,0.7181818181818183,27.30308490909091,68.13636363636364,0.8636363636363636,1994-02-04
11358,1994-02-05,32.79090909090909,19.754545454545454,5.7272727272727275,24.625353545454548,74.70454545454545,0.9295454454545454,1994-02-05
11359,1994-02-06,31.291666666666668,19.866666666666667,9.883333333333333,21.390388416666667,75.27083333333333,1.0250000000000001,1994-02-06
11360,1994-02-07,30.663636363636364,20.045454545454547,9.418181818181818,22.435474545454547,77.45454545454545,1.1613636272727275,1994-02-07
11361,1994-02-08,31.883333333333336,19.558333333333334,2.15,25.2584675,71.47916666666667,0.8395833333333332,1994-02-08
11362,1994-02-09,32.34166666666667,19.516666666666666,0.8583333333333334,23.291550333333333,73.45833333333333,0.9874999999999999,1994-02-09
